Date,State,District,Water_Level_m
2014-01-01,Maharashtra,Nagpur,20.287608114939523
2014-02-01,Maharashtra,Nagpur,18.264089983454383
2014-03-01,Maharashtra,Nagpur,15.35459198669241
2014-04-01,Maharashtra,Nagpur,15.332972779220663
2014-05-01,Maharashtra,Nagpur,15.340032587164055
2014-06-01,Maharashtra,Nagpur,17.85751522672823
2014-07-01,Maharashtra,Nagpur,20.177259604199914
2014-08-01,Maharashtra,Nagpur,21.79615745873417
2014-09-01,Maharashtra,Nagpur,24.7087565239131
2014-10-01,Maharashtra,Nagpur,24.41689374655377
2014-11-01,Maharashtra,Nagpur,25.1691925319693
2014-12-01,Maharashtra,Nagpur,21.396023341736385
2015-01-01,Maharashtra,Nagpur,19.546042339104503
2015-02-01,Maharashtra,Nagpur,17.144804168716625
2015-03-01,Maharashtra,Nagpur,15.382658932279709
2015-04-01,Maharashtra,Nagpur,13.620881427452735
2015-05-01,Maharashtra,Nagpur,15.602597168940099
2015-06-01,Maharashtra,Nagpur,17.15114711721306
2015-07-01,Maharashtra,Nagpur,19.41783790395792
2015-08-01,Maharashtra,Nagpur,22.27660392019329
2015-09-01,Maharashtra,Nagpur,24.837914334797087
2015-10-01,Maharashtra,Nagpur,25.634240466295005
2015-11-01,Maharashtra,Nagpur,24.596608928909973
2015-12-01,Maharashtra,Nagpur,21.94459157781071
2016-01-01,Maharashtra,Nagpur,19.018360654323125
2016-02-01,Maharashtra,Nagpur,17.269065159663935
2016-03-01,Maharashtra,Nagpur,15.186669100851075
2016-04-01,Maharashtra,Nagpur,14.58068560686932
2016-05-01,Maharashtra,Nagpur,16.18729372727513
2016-06-01,Maharashtra,Nagpur,16.728198219179646
2016-07-01,Maharashtra,Nagpur,18.36009833244843
2016-08-01,Maharashtra,Nagpur,22.18337833117251
2016-09-01,Maharashtra,Nagpur,23.28638467294177
2016-10-01,Maharashtra,Nagpur,23.711442177976966
2016-11-01,Maharashtra,Nagpur,23.95851135298253
2016-12-01,Maharashtra,Nagpur,21.259571656185106
2017-01-01,Maharashtra,Nagpur,18.085781472729867
2017-02-01,Maharashtra,Nagpur,16.884727136560628
2017-03-01,Maharashtra,Nagpur,15.24584993027143
2017-04-01,Maharashtra,Nagpur,14.398465316390304
2017-05-01,Maharashtra,Nagpur,14.629992811973684
2017-06-01,Maharashtra,Nagpur,15.987270204395804
2017-07-01,Maharashtra,Nagpur,
2017-08-01,Maharashtra,Nagpur,20.917888909215844
2017-09-01,Maharashtra,Nagpur,23.41549218507537
2017-10-01,Maharashtra,Nagpur,23.97813441771086
2017-11-01,Maharashtra,Nagpur,22.613895634552538
2017-12-01,Maharashtra,Nagpur,21.17935704361309
2018-01-01,Maharashtra,Nagpur,19.667339637181016
2018-02-01,Maharashtra,Nagpur,16.0047853331521
2018-03-01,Maharashtra,Nagpur,14.255430303358114
2018-04-01,Maharashtra,Nagpur,13.599924147773047
2018-05-01,Maharashtra,Nagpur,15.07164591283754
2018-06-01,Maharashtra,Nagpur,16.491928486266787
2018-07-01,Maharashtra,Nagpur,18.163640974046764
2018-08-01,Maharashtra,Nagpur,21.459663084476915
2018-09-01,Maharashtra,Nagpur,
